Year,SP500,3TBill,LIR,Stocks,TBills,TBonds,SmBills,SmBonds,CPI,
1928,0.4381,0.0308,0.0084,143.81,103.08,100.84,0.4073,0.4298,-0.01,
1929,-0.083,0.0316,0.042,131.88,106.34,105.07,-0.1146,-0.125,-0.01,
1930,-0.2512,0.0455,0.0454,98.75,111.18,109.85,-0.2967,-0.2966,0.00,
1931,-0.4384,0.0231,-0.0256,55.46,113.74,107.03,-0.4615,-0.4128,-0.07,
1932,-0.0864,0.0107,0.0879,50.66,114.96,116.44,-0.0971,-0.1743,-0.10,
1933,0.4998,0.0096,0.0186,75.99,116.06,118.60,0.4902,0.4813,-0.10,
1934,-0.0119,0.0032,0.0796,75.09,116.44,128.05,-0.0151,-0.0915,0.02,
1935,0.4674,0.0018,0.0447,110.18,116.64,133.78,0.4657,0.4227,0.03,
1936,0.3194,0.0017,0.0502,145.38,116.84,140.49,0.3177,0.2693,0.01,
1937,-0.3534,0.003,0.0138,94.00,117.19,142.43,-0.3564,-0.3672,0.02,
1938,0.2928,0.0008,0.0421,121.53,117.29,148.43,0.2921,0.2507,0.01,
1939,-0.011,0.0004,0.0441,120.20,117.33,154.98,-0.0114,-0.0551,-0.01,
1940,-0.1067,0.0003,0.054,107.37,117.36,163.35,-0.107,-0.1608,-0.01,
1941,-0.1277,0.0008,-0.0202,93.66,117.46,160.04,-0.1285,-0.1075,0.01,
1942,0.1917,0.0034,0.0229,111.61,117.85,163.72,0.1884,0.1688,0.11,
1943,0.2506,0.0038,0.0249,139.59,118.30,167.79,0.2468,0.2257,0.08,
1944,0.1903,0.0038,0.0258,166.15,118.75,172.12,0.1865,0.1645,0.03,
1945,0.3582,0.0038,0.038,225.67,119.20,178.67,0.3544,0.3202,0.02,
1946,-0.0843,0.0038,0.0313,206.65,119.65,184.26,-0.0881,-0.1156,0.02,
1947,0.052,0.0057,0.0092,217.39,120.33,185.95,0.0463,0.0428,0.18,
1948,0.057,0.0102,0.0195,229.79,121.56,189.58,0.0468,0.0375,0.10,
1949,0.183,0.011,0.0466,271.85,122.90,198.42,0.172,0.1364,0.01,
1950,0.3081,0.0117,0.0043,355.60,124.34,199.27,0.2963,0.3038,-0.02,
1951,0.2368,0.0148,-0.003,439.80,126.18,198.68,0.222,0.2397,0.08,
1952,0.1815,0.0167,0.0227,519.62,128.29,203.19,0.1648,0.1588,0.04,
1953,-0.0121,0.0189,0.0414,513.35,130.72,211.61,-0.031,-0.0535,0.00,
1954,0.5256,0.0096,0.0329,783.18,131.98,218.57,0.516,0.4927,0.01,
1955,0.326,0.0166,-0.0134,1038.47,134.17,215.65,0.3094,0.3393,-0.01,
1956,0.0744,0.0256,-0.0226,1115.73,137.60,210.79,0.0488,0.097,0.00,
1957,-0.1046,0.0323,0.068,999.05,142.04,225.11,-0.1369,-0.1725,0.03,
1958,0.4372,0.0178,-0.021,1435.84,144.57,220.39,0.4194,0.4582,0.04,
1959,0.1206,0.0326,-0.0265,1608.95,149.27,214.56,0.088,0.147,0.01,
1960,0.0034,0.0305,0.1164,1614.37,153.82,239.53,-0.0271,-0.113,0.01,
1961,0.2664,0.0227,0.0206,2044.40,157.30,244.46,0.2437,0.2458,0.02,
1962,-0.0881,0.0278,0.0569,1864.26,161.67,258.38,-0.1159,-0.1451,0.01,
1963,0.2261,0.0311,0.0168,2285.80,166.70,262.74,0.195,0.2093,0.01,
1964,0.1642,0.0351,0.0373,2661.02,172.54,272.53,0.1291,0.1269,0.02,
1965,0.124,0.039,0.0072,2990.97,179.28,274.49,0.085,0.1168,0.01,
1966,-0.0997,0.0484,0.0291,2692.74,187.95,282.47,-0.1481,-0.1288,0.02,
1967,0.238,0.0433,-0.0158,3333.69,196.10,278.01,0.1947,0.2538,0.03,
1968,0.1081,0.0526,0.0327,3694.23,206.41,287.11,0.0555,0.0754,0.04,
1969,-0.0824,0.0656,-0.0501,3389.77,219.96,272.71,-0.148,-0.0323,0.04,
1970,0.0356,0.0669,0.1675,3510.49,234.66,318.41,-0.0312,-0.1319,0.06,
1971,0.1422,0.0454,0.0979,4009.72,245.32,349.57,0.0968,0.0443,0.05,
1972,0.1876,0.0395,0.0282,4761.76,255.01,359.42,0.148,0.1594,0.03,
1973,-0.1431,0.0673,0.0366,4080.44,272.16,372.57,-0.2103,-0.1797,0.04,
1974,-0.259,0.0778,0.0199,3023.54,293.33,379.98,-0.3368,-0.2789,0.09,
1975,0.37,0.0599,0.0361,4142.10,310.90,393.68,0.3101,0.3339,0.12,
1976,0.2383,0.0497,0.1598,5129.20,326.35,456.61,0.1886,0.0785,0.07,
1977,-0.0698,0.0513,0.0129,4771.20,343.09,462.50,-0.1211,-0.0827,0.05,
1978,0.0651,0.0693,-0.0078,5081.77,366.87,458.90,-0.0042,0.0729,0.07,
1979,0.1852,0.0994,0.0067,6022.89,403.33,461.98,0.0858,0.1785,0.09,
1980,0.3174,0.1122,-0.0299,7934.26,448.58,448.17,0.2052,0.3472,0.14,
1981,-0.047,0.143,0.082,7561.16,512.73,484.91,-0.19,-0.129,0.12,
1982,0.2042,0.1101,0.3281,9105.08,569.18,644.04,0.0941,-0.124,0.08,
1983,0.2234,0.0845,0.032,11138.90,617.26,664.65,0.1389,0.1914,0.04,
1984,0.0615,0.0961,0.1373,11823.51,676.60,755.92,-0.0347,-0.0759,0.04,
1985,0.3124,0.0749,0.2571,15516.60,727.26,950.29,0.2375,0.0552,0.04,
1986,0.1849,0.0604,0.2428,18386.33,771.15,1181.06,0.1246,-0.0579,0.04,
1987,0.0581,0.0572,-0.0496,19455.08,815.27,1122.47,0.0009,0.1077,0.01,
1988,0.1654,0.0645,0.0822,22672.40,867.86,1214.78,0.1009,0.0831,0.04,
1989,0.3148,0.0811,0.1769,29808.58,938.24,1429.72,0.2337,0.1378,0.05,
1990,-0.0306,0.0755,0.0624,28895.11,1009.08,1518.87,-0.1061,-0.093,0.05,
1991,0.3023,0.0561,0.15,37631.51,1065.69,1746.77,0.2462,0.1523,0.06,
1992,0.0749,0.0341,0.0936,40451.51,1101.98,1910.30,0.0409,-0.0187,0.03,
1993,0.0997,0.0298,0.1421,44483.33,1134.84,2181.77,0.0698,-0.0424,0.03,
1994,0.0133,0.0399,-0.0804,45073.14,1180.07,2006.43,-0.0266,0.0936,0.03,
1995,0.372,0.0552,0.2348,61838.19,1245.15,2477.55,0.3168,0.1371,0.03,
1996,0.2268,0.0502,0.0143,75863.69,1307.68,2512.94,0.1766,0.2125,0.03,
1997,0.331,0.0505,0.0994,100977.34,1373.76,2762.71,0.2805,0.2316,0.03,
1998,0.2834,0.0473,0.1492,129592.25,1438.70,3174.95,0.2361,0.1342,0.02,
1999,0.2089,0.0451,-0.0825,156658.05,1503.58,2912.88,0.1638,0.2914,0.02,
2000,-0.0903,0.0576,0.1666,142508.98,1590.23,3398.03,-0.1479,-0.2569,0.03,
2001,-0.1185,0.0367,0.0557,125622.01,1648.63,3587.37,-0.1552,-0.1742,0.04,
2002,-0.2197,0.0166,0.1512,98027.82,1675.96,4129.65,-0.2362,-0.3708,0.01,
2003,0.2836,0.0103,0.0038,125824.39,1693.22,4145.15,0.2733,0.2798,0.03,
2004,0.1074,0.0123,0.0449,139341.42,1714.00,4331.30,0.0952,0.0625,0.02,
2005,0.0483,0.0301,0.0287,146077.85,1765.59,4455.50,0.0182,0.0197,0.03,
2006,0.1561,0.0468,0.0196,168884.34,1848.18,4542.87,0.1094,0.1365,0.04,
2007,0.0548,0.0464,0.1021,178147.20,1933.98,5006.69,0.0084,-0.0473,0.02,
2008,-0.3655,0.0159,0.201,113030.22,1964.64,6013.10,-0.3814,-0.5665,0.04,
2009,0.2594,0.0014,-0.1112,142344.87,1967.29,5344.65,0.258,0.3705,-0.00,
2010,0.1482,0.0013,0.0846,163441.94,1969.84,5796.96,0.1469,0.0636,0.03,
2011,0.021,0.0003,0.1604,166871.56,1970.44,6726.52,0.0207,-0.1394,0.02,
2012,0.1589,0.0005,0.0297,193388.43,1971.42,6926.40,0.1584,0.1292,0.03,
2013,0.3215,0.0007,-0.091,255553.31,1972.72,6295.79,0.3208,0.4125,0.02,
2014,0.1352,0.0005,0.1075,290115.42,1973.77,6972.34,0.1347,0.0278,0.02,
