Year,Price,Div,Earn,Rate,RateLong,CPI,RealR,RealP,RealD,P_Ret,LogPR,Stocks,RealE,PE,E10,CAPE,Bond_Ret,LogBR,Bonds
1871.00,4.44,0.26,0.40,6.35,5.32,12.46,1.05,82.03,4.73,0.14,0.13,112.73,7.28,,,,0.06,0.06,105.89
1872.00,4.86,0.30,0.43,7.81,5.36,12.65,1.05,88.44,5.34,0.09,0.08,122.31,7.65,12.15,,,0.06,0.06,112.33
1873.00,5.11,0.33,0.46,8.35,5.58,12.94,1.13,90.94,6.14,0.02,0.02,124.92,8.56,11.88,,,0.09,0.09,122.14
1874.00,4.66,0.33,0.46,6.86,5.47,12.37,1.15,86.76,6.60,0.12,0.12,139.39,9.20,10.13,,,0.10,0.09,133.40
1875.00,4.54,0.30,0.36,4.96,5.07,11.51,1.11,90.81,6.37,0.11,0.11,154.29,7.64,9.87,,,0.08,0.08,144.06
1876.00,4.46,0.30,0.28,5.33,4.59,10.85,1.04,94.69,6.31,-0.14,-0.16,130.25,5.89,12.39,,,0.06,0.06,152.88
1877.00,3.55,0.19,0.30,5.03,4.45,10.94,1.25,74.71,4.74,0.15,0.14,148.32,7.49,12.68,,,0.06,0.06,161.49
1878.00,3.25,0.18,0.31,4.90,4.34,9.23,1.17,81.09,5.01,0.29,0.25,186.08,8.62,10.83,,,0.06,0.06,170.51
1879.00,3.58,0.20,0.38,4.25,4.22,8.28,0.86,99.59,4.61,0.23,0.21,224.44,8.76,11.55,,,0.06,0.05,179.88
1880.00,5.11,0.26,0.49,5.10,4.02,9.99,1.11,117.79,6.36,0.34,0.29,289.92,11.98,13.45,8.31,,0.07,0.07,192.62
1881.00,6.19,0.32,0.44,4.79,3.70,9.42,0.97,151.33,7.24,-0.07,-0.07,269.72,9.95,12.63,8.58,18.21,0.05,0.05,202.66
1882.00,5.92,0.32,0.43,5.26,3.62,10.18,1.07,133.91,7.38,0.06,0.05,284.21,9.91,13.45,8.80,15.62,0.05,0.05,212.91
1883.00,5.81,0.33,0.40,5.35,3.63,9.99,1.14,133.92,8.23,0.03,0.03,291.67,9.98,13.51,8.94,15.22,0.05,0.05,224.15
1884.00,5.18,0.31,0.31,5.65,3.62,9.23,1.18,129.25,8.62,-0.02,-0.02,285.58,8.62,12.95,8.89,14.45,0.06,0.06,237.95
